persona,text,likert_scale,answer
Suharto,Can be moody,1 to 5,3
Suharto,"Values artistic, aesthetic experiences",1 to 5,1
Suharto,"Is sometimes shy, inhibited",1 to 5,1
Suharto,Is considerate and kind to almost everyone,1 to 5,5
Suharto,Does things efficiently,1 to 5,3
Suharto,Remains calm in tense situations,1 to 5,1
Suharto,Prefers work that is routine,1 to 5,1
Suharto,"Is outgoing, sociable",1 to 5,3
Suharto,Is sometimes rude to others,1 to 5,4
Suharto,Makes plans and follows through with them,1 to 5,1
Suharto,Gets nervous easily,1 to 5,2
Suharto,"Likes to reflect, play with ideas",1 to 5,1
Suharto,Has few artistic interests,1 to 5,2
Suharto,Likes to cooperate with others,1 to 5,3
Suharto,Is easily distracted,1 to 5,5
Osama Bin Laden,Tends to find fault with others,1 to 5,3
Osama Bin Laden,Does a thorough job,1 to 5,1
Osama Bin Laden,"Is depressed, blue",1 to 5,3
Osama Bin Laden,Is reserved,1 to 5,3
Osama Bin Laden,"Is relaxed, handles stress well",1 to 5,3
Osama Bin Laden,Is full of energy,1 to 5,1
Osama Bin Laden,Starts quarrels with others,1 to 5,4
Osama Bin Laden,Can be tense,1 to 5,5
Osama Bin Laden,Generates a lot of enthusiasm,1 to 5,5
Osama Bin Laden,Has a forgiving nature,1 to 5,1
Osama Bin Laden,Worries a lot,1 to 5,5
Osama Bin Laden,Tends to be quiet,1 to 5,5
Osama Bin Laden,Has an assertive personality,1 to 5,5
Osama Bin Laden,Perseveres until the task is finished,1 to 5,2
Osama Bin Laden,"Values artistic, aesthetic experiences",1 to 5,3
Osama Bin Laden,"Is sometimes shy, inhibited",1 to 5,4
Osama Bin Laden,Is considerate and kind to almost everyone,1 to 5,1
Osama Bin Laden,Does things efficiently,1 to 5,1
Osama Bin Laden,Remains calm in tense situations,1 to 5,3
Osama Bin Laden,Prefers work that is routine,1 to 5,4
Osama Bin Laden,Is sometimes rude to others,1 to 5,5
Osama Bin Laden,Makes plans and follows through with them,1 to 5,5
Osama Bin Laden,Gets nervous easily,1 to 5,3
Osama Bin Laden,Has few artistic interests,1 to 5,3
Osama Bin Laden,Likes to cooperate with others,1 to 5,5
Osama Bin Laden,"Is sophisticated in art, music, or Literature",1 to 5,1
Harold Shipman,Is talkative,1 to 5,5
Harold Shipman,Tends to find fault with others,1 to 5,5
Harold Shipman,Does a thorough job,1 to 5,5
Harold Shipman,"Is depressed, blue",1 to 5,5
Harold Shipman,"Is original, comes up with new ideas",1 to 5,5
Harold Shipman,Is helpful and unselfish with others,1 to 5,5
Harold Shipman,Can be somewhat careless,1 to 5,1
Harold Shipman,"Is relaxed, handles stress well",1 to 5,1
Harold Shipman,Is curious about many different things,1 to 5,1
Harold Shipman,Is full of energy,1 to 5,5
Harold Shipman,Starts quarrels with others,1 to 5,1
Harold Shipman,Is a reliable worker,1 to 5,2
Harold Shipman,Can be tense,1 to 5,5
Harold Shipman,"Is ingenious, a deep thinker",1 to 5,3
Harold Shipman,Generates a lot of enthusiasm,1 to 5,3
Harold Shipman,Has a forgiving nature,1 to 5,2
Harold Shipman,Tends to be disorganized,1 to 5,5
Harold Shipman,Worries a lot,1 to 5,5
Harold Shipman,Has an active imagination,1 to 5,5
Harold Shipman,"Is emotionally stable, not easily upset",1 to 5,4
Harold Shipman,Can be cold and aloof,1 to 5,3
Harold Shipman,Can be moody,1 to 5,4
Harold Shipman,"Values artistic, aesthetic experiences",1 to 5,3
Harold Shipman,Does things efficiently,1 to 5,5
Harold Shipman,Remains calm in tense situations,1 to 5,3
Harold Shipman,Prefers work that is routine,1 to 5,2
Harold Shipman,"Is outgoing, sociable",1 to 5,1
Harold Shipman,Makes plans and follows through with them,1 to 5,5
Harold Shipman,Gets nervous easily,1 to 5,2
Harold Shipman,Has few artistic interests,1 to 5,3
Harold Shipman,Is easily distracted,1 to 5,3
Harold Shipman,"Is sophisticated in art, music, or Literature",1 to 5,3
Pedro López,Is talkative,1 to 5,3
Pedro López,Tends to find fault with others,1 to 5,3
Pedro López,Does a thorough job,1 to 5,4
Pedro López,"Is depressed, blue",1 to 5,5
Pedro López,Is helpful and unselfish with others,1 to 5,3
Pedro López,Is curious about many different things,1 to 5,5
Pedro López,Is full of energy,1 to 5,5
Pedro López,Starts quarrels with others,1 to 5,5
Pedro López,Is a reliable worker,1 to 5,5
Pedro López,Can be tense,1 to 5,2
Pedro López,"Is ingenious, a deep thinker",1 to 5,1
Pedro López,Worries a lot,1 to 5,5
Pedro López,Is generally trusting,1 to 5,4
Pedro López,Tends to be lazy,1 to 5,1
Pedro López,"Is emotionally stable, not easily upset",1 to 5,1
Pedro López,Is inventive,1 to 5,3
Pedro López,Has an assertive personality,1 to 5,5
Pedro López,"Is sometimes shy, inhibited",1 to 5,3
Pedro López,Does things efficiently,1 to 5,3
Pedro López,Remains calm in tense situations,1 to 5,5
Pedro López,Makes plans and follows through with them,1 to 5,5
Pedro López,Gets nervous easily,1 to 5,1
Pedro López,"Likes to reflect, play with ideas",1 to 5,5
Pedro López,Has few artistic interests,1 to 5,3
Pedro López,Likes to cooperate with others,1 to 5,3
Pedro López,Is easily distracted,1 to 5,1
Pedro López,"Is sophisticated in art, music, or Literature",1 to 5,1
Bonnie Parker,Is talkative,1 to 5,3
Bonnie Parker,Tends to find fault with others,1 to 5,2
Bonnie Parker,Does a thorough job,1 to 5,5
Bonnie Parker,"Is depressed, blue",1 to 5,5
Bonnie Parker,"Is original, comes up with new ideas",1 to 5,2
Bonnie Parker,Is reserved,1 to 5,1
Bonnie Parker,Is helpful and unselfish with others,1 to 5,5
Bonnie Parker,Is curious about many different things,1 to 5,3
Bonnie Parker,Is full of energy,1 to 5,5
Bonnie Parker,Starts quarrels with others,1 to 5,1
Bonnie Parker,Is a reliable worker,1 to 5,1
Bonnie Parker,Can be tense,1 to 5,3
Bonnie Parker,"Is ingenious, a deep thinker",1 to 5,5
Bonnie Parker,Generates a lot of enthusiasm,1 to 5,3
Bonnie Parker,Tends to be disorganized,1 to 5,1
Bonnie Parker,Has an active imagination,1 to 5,4
Bonnie Parker,Is generally trusting,1 to 5,1
Bonnie Parker,"Is emotionally stable, not easily upset",1 to 5,2
Bonnie Parker,Is inventive,1 to 5,3
Bonnie Parker,Has an assertive personality,1 to 5,5
Bonnie Parker,Can be moody,1 to 5,3
Bonnie Parker,"Values artistic, aesthetic experiences",1 to 5,3
Bonnie Parker,Is considerate and kind to almost everyone,1 to 5,4
Bonnie Parker,Makes plans and follows through with them,1 to 5,1
Bonnie Parker,Gets nervous easily,1 to 5,3
Bonnie Parker,"Likes to reflect, play with ideas",1 to 5,5
Bonnie Parker,Has few artistic interests,1 to 5,3
Bonnie Parker,Likes to cooperate with others,1 to 5,3
Bonnie Parker,Is easily distracted,1 to 5,4
Bonnie Parker,"Is sophisticated in art, music, or Literature",1 to 5,1
Ted Kaczynski,Is talkative,1 to 5,4
Ted Kaczynski,Tends to find fault with others,1 to 5,1
Ted Kaczynski,"Is depressed, blue",1 to 5,4
Ted Kaczynski,"Is original, comes up with new ideas",1 to 5,3
Ted Kaczynski,Is reserved,1 to 5,4
Ted Kaczynski,Is helpful and unselfish with others,1 to 5,5
Ted Kaczynski,Can be somewhat careless,1 to 5,4
Ted Kaczynski,Is curious about many different things,1 to 5,3
Ted Kaczynski,Is full of energy,1 to 5,5
Ted Kaczynski,Starts quarrels with others,1 to 5,5
Ted Kaczynski,Is a reliable worker,1 to 5,4
Ted Kaczynski,"Is ingenious, a deep thinker",1 to 5,1
Ted Kaczynski,Generates a lot of enthusiasm,1 to 5,5
Ted Kaczynski,Has a forgiving nature,1 to 5,1
Ted Kaczynski,Tends to be disorganized,1 to 5,5
Ted Kaczynski,Worries a lot,1 to 5,4
Ted Kaczynski,Has an active imagination,1 to 5,2
Ted Kaczynski,Tends to be quiet,1 to 5,1
Ted Kaczynski,Is generally trusting,1 to 5,4
Ted Kaczynski,Is inventive,1 to 5,1
Ted Kaczynski,Has an assertive personality,1 to 5,2
Ted Kaczynski,Can be cold and aloof,1 to 5,5
Ted Kaczynski,Perseveres until the task is finished,1 to 5,4
Ted Kaczynski,Can be moody,1 to 5,4
Ted Kaczynski,"Values artistic, aesthetic experiences",1 to 5,5
Ted Kaczynski,Remains calm in tense situations,1 to 5,5
Ted Kaczynski,Prefers work that is routine,1 to 5,2
Ted Kaczynski,"Is outgoing, sociable",1 to 5,4
Ted Kaczynski,Is sometimes rude to others,1 to 5,4
Ted Kaczynski,Makes plans and follows through with them,1 to 5,2
Ted Kaczynski,Gets nervous easily,1 to 5,1
Ted Kaczynski,"Likes to reflect, play with ideas",1 to 5,4
Ted Kaczynski,Has few artistic interests,1 to 5,4
Ted Kaczynski,Likes to cooperate with others,1 to 5,3
Ted Kaczynski,Is easily distracted,1 to 5,1
Ted Kaczynski,"Is sophisticated in art, music, or Literature",1 to 5,1
