Name,Question,Inr,Answer
Steve Jobs,"Is original, comes up with new ideas",5,5
Steve Jobs,Is reserved,6,2
Steve Jobs,Is helpful and unselfish with others,7,5
Steve Jobs,Can be somewhat careless,8,2
Steve Jobs,"Is relaxed, handles stress well",9,4
Steve Jobs,Is curious about many different things,10,5
Steve Jobs,Is full of energy,11,5
Steve Jobs,Starts quarrels with others,12,1
Steve Jobs,Is a reliable worker,13,5
Steve Jobs,Can be tense,14,3
Steve Jobs,"Is ingenious, a deep thinker",15,5
Steve Jobs,Generates a lot of enthusiasm,16,5
Steve Jobs,Has a forgiving nature,17,4
Steve Jobs,Tends to be disorganized,18,1
Steve Jobs,Worries a lot,19,2
Steve Jobs,Has an active imagination,20,5
Steve Jobs,Tends to be quiet,21,2
Steve Jobs,Is generally trusting,22,4
Steve Jobs,Tends to be lazy,23,1
Steve Jobs,"Is emotionally stable, not easily upset",24,4
Steve Jobs,Is inventive,25,5
Steve Jobs,Has an assertive personality,26,5
Steve Jobs,Can be cold and aloof,27,2
Steve Jobs,Perseveres until the task is finished,28,5
Steve Jobs,Can be moody,29,4
Steve Jobs,"Values artistic, aesthetic experiences",30,5
Steve Jobs,"Is sometimes shy, inhibited",31,2
Steve Jobs,Is considerate and kind to almost everyone,32,4
Steve Jobs,Does things efficiently,33,5
Steve Jobs,Remains calm in tense situations,34,5
Steve Jobs,Prefers work that is routine,35,1
Steve Jobs,"Is outgoing, sociable",36,4
Steve Jobs,Is sometimes rude to others,37,2
Steve Jobs,Makes plans and follows through with them,38,5
Steve Jobs,Gets nervous easily,39,2
Steve Jobs,"Likes to reflect, play with ideas",40,5
Steve Jobs,Has few artistic interests,41,1
Steve Jobs,Likes to cooperate with others,42,4
Steve Jobs,Is easily distracted,43,2
Steve Jobs,"Is sophisticated in art, music, or Literature",44,5
Jet Li,Is talkative,1,3
Jet Li,Tends to find fault with others,2,1
Jet Li,Does a thorough job,3,5
Jet Li,"Is depressed, blue",4,2
Jet Li,"Is original, comes up with new ideas",5,5
Jet Li,Is reserved,6,3
Jet Li,Is helpful and unselfish with others,7,5
Jet Li,Can be somewhat careless,8,2
Jet Li,"Is relaxed, handles stress well",9,4
Jet Li,Is curious about many different things,10,5
Jet Li,Is full of energy,11,5
Jet Li,Starts quarrels with others,12,1
Jet Li,Is a reliable worker,13,5
Jet Li,Can be tense,14,3
Jet Li,"Is ingenious, a deep thinker",15,4
Jet Li,Generates a lot of enthusiasm,16,5
Jet Li,Has a forgiving nature,17,4
Jet Li,Tends to be disorganized,18,2
Jet Li,Worries a lot,19,2
Jet Li,Has an active imagination,20,5
Jet Li,Tends to be quiet,21,2
Jet Li,Is generally trusting,22,4
Jet Li,Tends to be lazy,23,1
Jet Li,"Is emotionally stable, not easily upset",24,4
Jet Li,Is inventive,25,4
Jet Li,Has an assertive personality,26,4
Jet Li,Can be cold and aloof,27,3
Jet Li,Perseveres until the task is finished,28,5
Jet Li,Can be moody,29,3
Jet Li,"Values artistic, aesthetic experiences",30,4
Jet Li,"Is sometimes shy, inhibited",31,2
Jet Li,Is considerate and kind to almost everyone,32,5
Jet Li,Does things efficiently,33,5
Jet Li,Remains calm in tense situations,34,5
Jet Li,Prefers work that is routine,35,2
Jet Li,"Is outgoing, sociable",36,4
Jet Li,Is sometimes rude to others,37,1
Jet Li,Makes plans and follows through with them,38,5
Jet Li,Gets nervous easily,39,2
Jet Li,"Likes to reflect, play with ideas",40,4
Jet Li,Has few artistic interests,41,2
Jet Li,Likes to cooperate with others,42,5
Jet Li,Is easily distracted,43,2
Jet Li,"Is sophisticated in art, music, or Literature",44,4
